shot_WDIA,t_start_analysis_spectro,t_end_analysis_spectro,NBI scenario 2
32878,1060,1217,ECH+NBI2
32912,1060,1218,ECH+NBI2
32915,1060,1220,ECH+NBI2
32916,1060,1219,ECH+NBI2
32918,1060,1217,ECH+NBI2
33025,1060,1220,ECH+NBI2
33032,1060,1218,ECH+NBI2
33114,1020,1217,No NBI plasma. No AE
33117,1020,1219,No NBI plasma. No AE
33131,1060,1219,ECH+NBI1
33200,1060,1198,ECH+NBI1
33209,1060,1208,ECH+NBI1
33222,1060,1199,ECH+NBI1
33227,1060,1198,ECH+NBI1
33239,1060,1207,ECH+NBI1
33244,1060,1210,ECH+NBI1
33263,1060,1198,ECH+NBI1
33273,1060,1207,ECH+NBI1
33281,1060,1208,ECH+NBI1
33282,1060,1209,ECH+NBI1
33285,1060,1208,ECH+NBI1
33288,1060,1208,ECH+NBI1
33290,1060,1207,ECH+NBI1
33308,1060,1218,ECH+NBI1
33417,1060,1192,No NBI plasma. No AE
33500,1020,1209,No NBI plasma. No AE
33502,1020,1208,No NBI plasma. No AE
33504,1020,1207,No NBI plasma. No AE
33635,1020,1238,No NBI plasma. No AE
33643,1020,1174,No NBI plasma. No AE
33703,1060,1198,ECH+NBI1
33717,1060,1198,ECH+NBI1
33761,1060,1239,ECH+NBI1
33767,1060,1211,ECH+NBI1
33827,1060,1250,ECH+NBI1
33831,1060,1247,ECH+NBI1
33840,1060,1247,ECH+NBI1
33848,1060,1249,ECH+NBI1
33852,1060,1248,ECH+NBI1
33856,1060,1249,ECH+NBI1
33864,1060,1218,ECH+NBI1
33983,1060,1219,ECH+NBI1
33991,1060,1217,ECH+NBI1
34178,1060,1248,ECH+NBI1
34233,1060,1218,ECH+NBI1
34517,1060,1192,ECH+NBI1
34519,1060,1197,ECH+NBI1
34524,1060,1198,ECH+NBI1
34528,1060,1199,ECH+NBI1
34569,1060,1219,ECH+NBI1
34571,1060,1217,ECH+NBI1
34635,1060,1218,ECH+NBI1
34652,1060,1218,ECH+NBI1
34735,1020,1278,No NBI plasma. No AE
34787,1020,1219,No NBI plasma. No AE
34867,1020,1217,No NBI plasma. No AE
35092,1060,1219,ECH+NBI1
35100,1060,1201,ECH+NBI1
35162,1060,1267,ECH+NBI1
35352,1060,1249,ECH+NBI1
35425,1060,1219,ECH+NBI1
35432,1060,1217,ECH+NBI1
35433,1060,1219,ECH+NBI1
35449,1060,1218,ECH+NBI1
35454,1060,1218,ECH+NBI1
35480,1060,1219,ECH+NBI1
35594,1060,1217,ECH+NBI1
35596,1060,1160,ECH+NBI1
35603,1020,1218,No NBI plasma. No AE
35604,1020,1219,No NBI plasma. No AE
35612,1060,1217,ECH+NBI1
35675,1060,1217,ECH+NBI1
35721,1060,1217,ECH+NBI1
35728,1060,1217,ECH+NBI1
35730,1060,1217,ECH+NBI1
35895,1060,1259,ECH+NBI1
35933,1060,1287,ECH+NBI1
35934,1060,1288,ECH+NBI1
35967,1060,1289,ECH+NBI1
36062,1060,1258,ECH+NBI1
36128,1060,1243,ECH+NBI1
36182,1060,1238,ECH+NBI1
36534,964,1007,No NBI plasma. No AE
36554,983,1103,NBI1 start-up
36555,989,1109,NBI1 start-up
36573,984,1104,NBI1 start-up
36598,984,1084,No NBI plasma. No AE
36600,984,1085,No NBI plasma. No AE
36656,983,1082,No NBI plasma. No AE
36737,984,1053,NBI1 start-up
36761,980,1079,No NBI plasma. No AE
36767,974,1072,NBI1 start-up
36775,984,1083,NBI1 start-up
36784,983,1102,NBI1 start-up
36804,984,1102,NBI1 start-up
36818,984,1104,NBI1 start-up
36924,973,1074,No NBI plasma. No AE
36925,973,1073,No NBI plasma. No AE
36944,979,1078,No NBI plasma. No AE
36965,993,1092,No NBI plasma. No AE
36967,994,1093,No NBI plasma. No AE
36990,978,1078,NBI1 start-up
37020,978,1098,No NBI plasma. No AE
37024,973,1093,No NBI plasma. No AE
37026,963,1084,No NBI plasma. No AE
37027,977,1099,No NBI plasma. No AE
37034,978,1078,NBI1 start-up
37060,978,1077,No NBI plasma. No AE
37084,983,1084,No NBI plasma. No AE
37133,983,1103,NBI1 start-up
37155,983,1103,NBI1 start-up
37204,983,1083,NBI1 start-up
37237,983,1082,No NBI plasma. No AE
